Bills&Payments,Food&Drinks,Entertainment,Kitchen&Grocery,Shoppings,Travel,Medicals,Fuel
jio,zomato,movie,Dmart India,myntra,irctc,Medicals,Fuel
Vi Prepaid,hotel,cinema,M M R Trades,,train,meds,petrol
NETFLIX,mess,inox,,,travel,medical,
Amazon India,restaurant,,,,Transport,,
,biryani,,,,REDBUS,,
,food,,,,,,
,BAKEYA,,,,,,
,swiggy,,,,,,
